Quarter,Mortgage,HE Revolving,Auto Loan,Credit Card,Student Loan,Other,Total
03:Q1,4.94,0.24,0.64,0.69,0.24,0.48,7.23
03:Q2,5.08,0.26,0.62,0.69,0.24,0.49,7.38
03:Q3,5.18,0.27,0.68,0.69,0.25,0.48,7.56
03:Q4,5.66,0.30,0.70,0.70,0.25,0.45,8.07
04:Q1,5.84,0.33,0.72,0.70,0.26,0.45,8.29
04:Q2,5.97,0.37,0.74,0.70,0.26,0.42,8.46
04:Q3,6.21,0.43,0.75,0.71,0.33,0.41,8.83
04:Q4,6.36,0.47,0.73,0.72,0.35,0.42,9.04
05:Q1,6.51,0.50,0.73,0.71,0.36,0.39,9.21
05:Q2,6.70,0.53,0.77,0.72,0.37,0.40,9.49
05:Q3,6.91,0.54,0.83,0.73,0.38,0.41,9.79
05:Q4,7.10,0.57,0.79,0.74,0.39,0.42,10.00
06:Q1,7.44,0.58,0.79,0.72,0.43,0.42,10.38
06:Q2,7.76,0.59,0.80,0.74,0.44,0.42,10.75
06:Q3,8.05,0.60,0.82,0.75,0.45,0.44,11.11
06:Q4,8.23,0.60,0.82,0.77,0.48,0.41,11.31
07:Q1,8.42,0.61,0.79,0.76,0.51,0.40,11.50
07:Q2,8.71,0.62,0.81,0.80,0.51,0.41,11.85
07:Q3,8.93,0.63,0.82,0.82,0.53,0.41,12.13
07:Q4,9.10,0.65,0.82,0.84,0.55,0.42,12.37
08:Q1,9.23,0.66,0.81,0.84,0.58,0.42,12.54
08:Q2,9.27,0.68,0.81,0.85,0.59,0.40,12.60
08:Q3,9.29,0.69,0.81,0.86,0.61,0.41,12.68
08:Q4,9.26,0.71,0.79,0.87,0.64,0.41,12.67
09:Q1,9.14,0.71,0.77,0.84,0.66,0.41,12.53
09:Q2,9.06,0.71,0.74,0.82,0.68,0.39,12.41
09:Q3,8.94,0.71,0.74,0.81,0.69,0.38,12.28
09:Q4,8.84,0.71,0.72,0.80,0.72,0.38,12.17
10:Q1,8.83,0.70,0.70,0.76,0.76,0.36,12.12
10:Q2,8.70,0.68,0.70,0.74,0.76,0.35,11.94
10:Q3,8.61,0.67,0.71,0.73,0.78,0.34,11.84
10:Q4,8.45,0.67,0.71,0.73,0.81,0.34,11.71
11:Q1,8.54,0.64,0.71,0.70,0.84,0.33,11.75
11:Q2,8.52,0.62,0.71,0.69,0.85,0.33,11.73
11:Q3,8.40,0.64,0.73,0.69,0.87,0.33,11.66
11:Q4,8.27,0.63,0.73,0.70,0.87,0.33,11.54
12:Q1,8.19,0.61,0.74,0.68,0.90,0.32,11.44
12:Q2,8.15,0.59,0.75,0.67,0.91,0.31,11.38
12:Q3,8.03,0.57,0.77,0.67,0.96,0.31,11.31
12:Q4,8.03,0.56,0.78,0.68,0.97,0.32,11.34
13:Q1,7.93,0.55,0.79,0.66,0.99,0.31,11.23
13:Q2,7.84,0.54,0.81,0.67,0.99,0.30,11.15
13:Q3,7.90,0.54,0.85,0.67,1.03,0.30,11.28
13:Q4,8.05,0.53,0.86,0.68,1.08,0.32,11.52
14:Q1,8.17,0.53,0.88,0.66,1.11,0.31,11.65
14:Q2,8.10,0.52,0.91,0.67,1.12,0.32,11.63
14:Q3,8.13,0.51,0.93,0.68,1.13,0.33,11.71
14:Q4,8.17,0.51,0.96,0.70,1.16,0.34,11.83
15:Q1,8.17,0.51,0.97,0.68,1.19,0.33,11.85
15:Q2,8.12,0.50,1.01,0.70,1.19,0.34,11.85
15:Q3,8.26,0.49,1.05,0.71,1.20,0.35,12.07
15:Q4,8.25,0.49,1.06,0.73,1.23,0.35,12.12
16:Q1,8.37,0.49,1.07,0.71,1.26,0.35,12.25
16:Q2,8.36,0.48,1.10,0.73,1.26,0.36,12.29
16:Q3,8.35,0.47,1.14,0.75,1.28,0.37,12.35
16:Q4,8.48,0.47,1.16,0.78,1.31,0.38,12.58
17:Q1,8.63,0.46,1.17,0.76,1.34,0.37,12.73
17:Q2,8.69,0.45,1.19,0.78,1.34,0.38,12.84
17:Q3,8.74,0.45,1.21,0.81,1.36,0.39,12.96
17:Q4,8.88,0.44,1.22,0.83,1.38,0.39,13.15
18:Q1,8.94,0.44,1.23,0.82,1.41,0.39,13.21
18:Q2,9.00,0.43,1.24,0.83,1.41,0.39,13.29
18:Q3,9.14,0.42,1.27,0.84,1.44,0.40,13.51
18:Q4,9.12,0.41,1.27,0.87,1.46,0.41,13.54
19:Q1,9.24,0.41,1.28,0.85,1.49,0.40,13.67
19:Q2,9.41,0.40,1.30,0.87,1.48,0.41,13.86
19:Q3,9.44,0.40,1.32,0.88,1.50,0.43,13.95
19:Q4,9.56,0.39,1.33,0.93,1.51,0.43,14.15
20:Q1,9.71,0.39,1.35,0.89,1.54,0.43,14.30
20:Q2,9.78,0.375,1.34,0.82,1.54,0.42,14.27
20:Q3,9.86,0.362,1.36,0.81,1.55,0.42,14.35
20:Q4,10.04,0.35,1.37,0.82,1.56,0.42,14.56
21:Q1,10.16,0.34,1.38,0.77,1.58,0.41,14.64
